Year,Week,Counts,Cumulative_Week,Cumulative Counts
2015,1,0,54,0
2015,2,0,55,0
2015,3,0,56,0
2015,4,0,57,0
2015,5,0,58,0
2015,6,0,59,0
2015,7,0,60,0
2015,8,0,61,0
2015,9,0,62,0
2015,10,0,63,0
2015,11,0,64,0
2015,12,0,65,0
2015,13,0,66,0
2015,14,0,67,0
2015,15,1,68,1
2015,16,0,69,1
2015,17,0,70,1
2015,18,1,71,2
2015,19,0,72,2
2015,20,0,73,2
2015,21,0,74,2
2015,22,0,75,2
2015,23,0,76,2
2015,24,0,77,2
2015,25,0,78,2
2015,26,0,79,2
2015,27,0,80,2
2015,28,1,81,3
2015,29,0,82,3
2015,30,0,83,3
2015,31,0,84,3
2015,32,0,85,3
2015,33,0,86,3
2015,34,0,87,3
2015,35,0,88,3
2015,36,0,89,3
2015,37,0,90,3
2015,38,0,91,3
2015,39,0,92,3
2015,40,0,93,3
2015,41,0,94,3
2015,42,0,95,3
2015,43,1,96,4
2015,44,0,97,4
2015,45,0,98,4
2015,46,0,99,4
2015,47,0,100,4
2015,48,0,101,4
2015,49,0,102,4
2015,50,0,103,4
2015,51,0,104,4
2015,52,0,105,4
2016,1,0,106,4
2016,2,0,107,4
2016,3,0,108,4
2016,4,0,109,4
2016,5,0,110,4
2016,6,0,111,4
2016,7,0,112,4
2016,8,0,113,4
2016,9,0,114,4
2016,10,0,115,4
2016,11,0,116,4
2016,12,0,117,4
2016,13,0,118,4
2016,14,0,119,4
2016,15,0,120,4
2016,16,0,121,4
2016,17,0,122,4
2016,18,0,123,4
2016,19,0,124,4
2016,20,0,125,4
2016,21,0,126,4
2016,22,0,127,4
2016,23,0,128,4
2016,24,0,129,4
2016,25,0,130,4
2016,26,0,131,4
2016,27,0,132,4
2016,28,0,133,4
2016,29,0,134,4
2016,30,0,135,4
2016,31,0,136,4
2016,32,0,137,4
2016,33,0,138,4
2016,34,0,139,4
2016,35,0,140,4
2016,36,0,141,4
2016,37,0,142,4
2016,38,0,143,4
2016,39,0,144,4
2016,40,0,145,4
2016,41,0,146,4
2016,42,0,147,4
2016,43,0,148,4
2016,44,0,149,4
2016,45,0,150,4
2016,46,0,151,4
2016,47,0,152,4
2016,48,0,153,4
2016,49,0,154,4
2016,50,0,155,4
2016,51,0,156,4
2016,52,0,157,4
