Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,1,3,1
2014,4,0,4,1
2014,5,0,5,1
2014,6,0,6,1
2014,7,0,7,1
2014,8,0,8,1
2014,9,0,9,1
2014,10,0,10,1
2014,11,0,11,1
2014,12,0,12,1
2014,13,0,13,1
2014,14,0,14,1
2014,15,0,15,1
2014,16,0,16,1
2014,17,0,17,1
2014,18,0,18,1
2014,19,0,19,1
2014,20,0,20,1
2014,21,0,21,1
2014,22,0,22,1
2014,23,0,23,1
2014,24,0,24,1
2014,25,0,25,1
2014,26,0,26,1
2014,27,0,27,1
2014,28,0,28,1
2014,29,0,29,1
2014,30,0,30,1
2014,31,0,31,1
2014,32,0,32,1
2014,33,0,33,1
2014,34,0,34,1
2014,35,0,35,1
2014,36,0,36,1
2014,37,0,37,1
2014,38,0,38,1
2014,39,1,39,2
2014,40,0,40,2
2014,41,0,41,2
2014,42,0,42,2
2014,43,0,43,2
2014,44,0,44,2
2014,45,0,45,2
2014,46,0,46,2
2014,47,0,47,2
2014,48,0,48,2
2014,49,0,49,2
2014,50,0,50,2
2014,51,0,51,2
2014,52,0,52,2
2014,53,0,53,2
2016,1,0,54,2
2016,2,0,55,2
2016,3,0,56,2
2016,4,1,57,3
2016,5,0,58,3
2016,6,0,59,3
2016,7,1,60,4
2016,8,0,61,4
2016,9,0,62,4
2016,10,0,63,4
2016,11,1,64,5
2016,12,0,65,5
2016,13,0,66,5
2016,14,0,67,5
2016,15,1,68,6
2016,16,0,69,6
2016,17,0,70,6
2016,18,0,71,6
2016,19,0,72,6
2016,20,0,73,6
2016,21,0,74,6
2016,22,0,75,6
2016,23,0,76,6
2016,24,0,77,6
2016,25,0,78,6
2016,26,0,79,6
2016,27,1,80,7
2016,28,1,81,8
2016,29,0,82,8
2016,30,0,83,8
2016,31,0,84,8
2016,32,1,85,9
2016,33,0,86,9
2016,34,0,87,9
2016,35,0,88,9
2016,36,0,89,9
2016,37,1,90,10
2016,38,0,91,10
2016,39,0,92,10
2016,40,0,93,10
2016,41,0,94,10
2016,42,0,95,10
2016,43,0,96,10
2016,44,0,97,10
2016,45,0,98,10
2016,46,0,99,10
2016,47,0,100,10
2016,48,0,101,10
2016,49,0,102,10
2016,50,0,103,10
2016,51,2,104,12
2016,52,0,105,12
2017,1,0,106,12
2017,2,0,107,12
2017,3,1,108,13
2017,4,0,109,13
2017,5,0,110,13
2017,6,0,111,13
2017,7,0,112,13
2017,8,0,113,13
2017,9,0,114,13
2017,10,0,115,13
2017,11,0,116,13
2017,12,0,117,13
2017,13,0,118,13
2017,14,0,119,13
2017,15,1,120,14
